DATE,KYUR,INUR,AKUR,HIUR
2004-03-01,5.7,5.4,7.600,3.5
2004-04-01,5.7,5.4,7.600,3.4
2004-05-01,5.6,5.300,7.500,3.3
2004-06-01,5.5,5.300,7.500,3.2
2004-07-01,5.4,5.300,7.400,3.2
2004-08-01,5.3,5.300,7.3,3.200
2004-09-01,5.3,5.400,7.300,3.1
2004-10-01,5.3,5.500,7.2,3.1
2004-11-01,5.3,5.5,7.200,3.1
2004-12-01,5.4,5.600,7.200,3.1
2005-01-01,5.5,5.6,7.100,3.0
2005-02-01,5.600,5.6,7.000,3.000
2005-03-01,5.700,5.5,6.900,2.9
2005-04-01,5.7,5.4,6.9,2.8
2005-05-01,5.8,5.3,6.800,2.800
2005-06-01,5.8,5.300,6.800,2.7
2005-07-01,5.900,5.3,6.800,2.800
2005-08-01,6.000,5.400,6.9,2.800
2005-09-01,6.1,5.4,7.0,2.800
2005-10-01,6.100,5.400,7.0,2.800
2005-11-01,6.2,5.3,7.0,2.800
2005-12-01,6.1,5.2,7.0,2.700
2006-01-01,6.000,5.1,6.900,2.700
2006-02-01,5.900,5.0,6.9,2.7
2006-03-01,5.800,4.9,6.800,2.7
2006-04-01,5.700,5.0,6.700,2.7
2006-05-01,5.700,5.0,6.700,2.7
2006-06-01,5.700,5.1,6.7,2.7
2006-07-01,5.700,5.1,6.600,2.6
2006-08-01,5.700,5.100,6.6,2.5
2006-09-01,5.700,5.0,6.500,2.4
2006-10-01,5.700,5.000,6.500,2.3
2006-11-01,5.6,4.900,6.400,2.3
2006-12-01,5.5,4.800,6.3,2.3
2007-01-01,5.5,4.7,6.300,2.4
2007-02-01,5.4,4.6,6.2,2.4
2007-03-01,5.3,4.5,6.2,2.5
2007-04-01,5.3,4.500,6.2,2.600
2007-05-01,5.300,4.5,6.2,2.6
2007-06-01,5.3,4.5,6.300,2.700
2007-07-01,5.3,4.500,6.3,2.7
2007-08-01,5.400,4.6,6.3,2.8
2007-09-01,5.4,4.7,6.3,2.900
2007-10-01,5.4,4.8,6.3,3.000
2007-11-01,5.4,4.8,6.3,3.0
2007-12-01,5.4,4.8,6.2,3.1
2008-01-01,5.3,4.8,6.2,3.1
2008-02-01,5.4,4.8,6.2,3.1
2008-03-01,5.5,4.9,6.3,3.2
2008-04-01,5.6,5.1,6.3,3.4
2008-05-01,5.9,5.3,6.4,3.6
2008-06-01,6.1,5.5,6.5,3.8
2008-07-01,6.4,5.8,6.5,4.0
2008-08-01,6.7,6.0,6.5,4.3
2008-09-01,7.1,6.4,6.6,4.5
2008-10-01,7.5,6.9,6.6,4.8
2008-11-01,8.1,7.5,6.7,5.1
2008-12-01,8.7,8.3,6.9,5.5
