"Year","state","fmhpi"
1980,"IA",53.1990916434167
1981,"IA",51.54376367225
1982,"IA",50.56693597825
1983,"IA",51.6663990704167
1984,"IA",52.2294517180833
1985,"IA",52.6100554571667
1986,"IA",53.21284354675
1987,"IA",53.4049602295
1988,"IA",54.3151828420833
1989,"IA",57.5070934851667
1990,"IA",60.7068357158333
1991,"IA",63.2909908285833
1992,"IA",66.7555444405833
1993,"IA",71.47862348075
1994,"IA",75.9156690768333
1995,"IA",79.5625117631667
1996,"IA",83.1631327535
1997,"IA",86.0704463045
1998,"IA",90.1112690605833
1999,"IA",94.4972169799167
2000,"IA",98.756557173
2001,"IA",101.8428042625
2002,"IA",105.482248704167
2003,"IA",109.295013815833
2004,"IA",113.6191066375
2005,"IA",117.783238946667
2006,"IA",121.438410385833
2007,"IA",123.121728700833
2008,"IA",122.343608666667
2009,"IA",120.708256271667
2010,"IA",120.24377391
2011,"IA",118.736436680833
2012,"IA",120.283751650833
2013,"IA",124.698510511667
2014,"IA",128.497264735833
2015,"IA",132.442236071667
2016,"IA",137.182362461667
2017,"IA",142.61159372
2018,"IA",148.422620110833
2019,"IA",152.700172064167
2020,"IA",160.151727975833
2021,"IA",176.178027048889
1975,"ID",32.8047264075833
1976,"ID",34.9038952603333
1977,"ID",38.2054434245
1978,"ID",44.3939794054167
1979,"ID",48.69545973075
1980,"ID",52.5763026565833
1981,"ID",52.6065563598333
1982,"ID",54.0042924656667
1983,"ID",55.3756211344167
1984,"ID",55.55600702475
1985,"ID",56.4197085439167
1986,"ID",56.7194428965833
1987,"ID",55.4990254024167
1988,"ID",55.4203785410833
1989,"ID",57.83492084325
1990,"ID",62.5805908610833
1991,"ID",66.8124659885
1992,"ID",71.9659401910833
1993,"ID",78.0250899434167
1994,"ID",84.9558963234167
1995,"ID",88.4872333009167
1996,"ID",90.40924108925
1997,"ID",92.07442005225
1998,"ID",93.4849731119167
1999,"ID",96.2189372670833
2000,"ID",99.0235929869167
2001,"ID",101.534722468083
2002,"ID",104.780440015833
2003,"ID",109.553610935
2004,"ID",119.242776035
2005,"ID",138.253889704167
2006,"ID",161.8277483875
2007,"ID",168.570074895
2008,"ID",159.200950583333
2009,"ID",141.438464851667
2010,"ID",126.467341821667
2011,"ID",116.599974265833
2012,"ID",123.753981754167
2013,"ID",135.1686818525
